,CENSUS_TRACT,TOT_POP,TOT_H,TOT_WA,TOT_BA,TOT_IA,TOT_AA,TOT_NA,TOT_OTHER,TOT_TOM,TOT_18+,TOT_H_18+,TOT_WA_18+,TOT_BA_18+,TOT_IA_18+,TOT_AA_18+,TOT_NA_18+,TOT_OTHER_18+,TOT_TOM_18+,TOT_HOUSE_UNITS,OCC_HOUSE_UNITS,VAC_HOUSE_UNITS,TOT_MED_AGE,PCT_M,M_MED_AGE,PCT_F,F_MED_AGE,AVG_HOUSE_SIZE,AVG_FAM_SIZE,HOME_VAC_RATE,RENT_VAC_RATE,PCT_OCC_OWNER,AVG_H_SIZE_OWNER,PCT_OCC_RENTER,AVG_H_SIZE_RENTER,PCT_LABOR,PCT_EMP,PCT_UNEMP,MHI_TOT,MHI_WA,MHI_BA,MHI_AA,MHI_H,TOT_FAM,PCT_FAM_POV,TOT_FAM_MARRIED,PCT_FAM_MARRIED_POV,TOT_FAM_F_ONLY,PCT_FAM_F_ONLY_POV,POV_RATE_NO_GED,POV_RATE_GED,POV_RATE_SOME_COL,POV_RATE_BACH_PLUS,MHI_OTHER,PCT_TOT_POP,PCT_H,PCT_WA,PCT_BA,PCT_AA,PCT_OTHER,PCT_TOT_POP_18,PCT_H_18,PCT_WA_18,PCT_BA_18,PCT_AA_18,PCT_OTHER_18,PCT_OCC_HOUSE,PCT_VAC_HOUSE,PCT_FAM,PCT_FAM_MARRIED,PCT_FAM_F_ONLY
0,12001000200,7431,838,4935,1137,16,333,7,22,143,7103,815,4865,917,16,329,4,16,141,3123,2788,335,21.7,43.5,22.4,56.5,21.3,2.28,2.75,3.6,7.9,13.4,2.37,86.6,2.27,48.2,43.1,10.5,9111.0,8363.0,14725.0,0.0,4512.0,380,41.1,114,17.5,229,43.2,40.5,43.5,12.1,23.2,10139.0,0.0395238416897546,11.277082492262146,66.41098102543398,15.300767056923698,4.481227291077917,2.5299421343022472,0.04799577599331424,11.474025059833872,68.49218640011263,12.910038012107561,4.631845699000422,2.491904828945516,89.27313480627602,10.726865193723983,5.113712824653479,1.5341138473960436,3.0816848338043332
1,12001000301,3308,332,2061,723,16,68,0,14,94,2857,266,1912,533,15,62,0,7,62,1933,1758,175,27.4,50.5,27.3,49.5,27.4,1.87,2.71,2.6,8.7,21.3,2.0,78.7,1.84,61.8,57.7,6.5,20947.0,22364.0,19857.0,0.0,15988.0,179,9.5,122,0.0,57,29.8,21.5,46.4,20.3,13.8,0.0,0.017594518679815395,10.036275695284159,62.303506650544136,21.856106408706168,2.0556227327690446,3.7484885126964933,0.01930507278796266,9.310465523276164,66.92334616730837,18.65593279663983,2.1701085054252713,2.9401470073503675,90.94671495085359,9.053285049146405,5.411124546553809,3.688029020556227,1.7230955259975818
2,12001000302,2770,209,1537,863,8,74,0,7,72,2223,145,1362,613,8,59,0,2,34,1592,1328,264,34.8,50.5,33.7,49.5,35.9,2.07,2.79,5.9,17.9,40.5,2.06,59.5,2.07,75.5,67.1,11.1,35766.0,37258.0,28517.0,0.0,44219.0,682,17.0,328,0.0,188,14.4,0.0,29.2,15.3,23.0,110167.0,0.014733015944101768,7.545126353790614,55.48736462093863,31.15523465703971,2.6714801444043323,3.140794223826715,0.01502106293582114,6.522717049032839,61.26855600539811,27.575348627980205,2.654071075123707,1.9793072424651372,83.41708542713567,16.582914572864322,24.620938628158846,11.84115523465704,6.787003610108304
3,12001000400,5665,297,1716,3390,18,74,1,27,142,3989,210,1477,2148,16,59,1,11,67,2327,2145,182,32.2,46.3,29.8,53.7,33.9,2.61,3.29,2.4,9.6,61.1,2.54,38.9,2.72,66.5,59.9,10.0,37981.0,42121.0,37527.0,0.0,35096.0,1337,15.7,645,10.2,577,22.0,29.6,17.0,16.8,2.0,0.0,0.030130879178099826,5.242718446601942,30.29126213592233,59.84112974404236,1.3062665489849956,3.3186231244483673,0.02695412507916803,5.264477312609676,37.02682376535473,53.84808222612184,1.4790674354474806,2.3815492604662825,92.17877094972067,7.82122905027933,23.60105913503972,11.385701676963812,10.185348631950573
4,12001000500,4976,296,3409,1020,24,78,2,22,125,4317,249,3083,792,18,71,2,18,84,2694,2417,277,33.3,51.4,33.7,48.6,32.9,1.92,2.7,4.1,10.1,43.2,2.07,56.8,1.8,66.7,63.7,4.5,35952.0,40417.0,21438.0,38566.0,11607.0,920,17.3,508,8.9,363,31.4,59.7,19.4,15.8,9.6,0.0,0.02646624091619148,5.94855305466238,68.5088424437299,20.4983922829582,1.567524115755627,3.4766881028938905,0.029170458251884777,5.767894371091035,71.4153347231874,18.34607366226546,1.644660643965717,2.826036599490387,89.71789161098738,10.28210838901262,18.488745980707396,10.209003215434084,7.295016077170419
5,12001000600,4350,95,215,3926,5,16,0,1,92,2839,54,169,2567,2,12,0,1,34,1757,1556,201,28.7,42.0,25.4,58.0,30.7,2.79,3.29,3.3,11.8,49.8,2.66,50.2,2.91,60.4,44.6,26.1,25357.0,45679.0,23854.0,0.0,8208.0,1301,38.0,334,7.8,832,53.8,57.1,16.4,27.9,8.9,0.0,0.023136685688390862,2.1839080459770113,4.942528735632184,90.2528735632184,0.367816091954023,2.2528735632183907,0.0191834447479965,1.9020781965480804,5.952800281789362,90.41916167664671,0.42268404367735113,1.3032758013384995,88.56004553215709,11.439954467842913,29.908045977011493,7.678160919540229,19.126436781609197
6,12001000700,6075,150,1092,4670,15,18,0,7,123,4557,101,946,3404,13,17,0,4,72,2623,2344,279,37.9,46.2,35.0,53.8,40.0,2.58,3.16,3.3,11.8,65.4,2.54,34.6,2.67,50.7,43.3,14.7,29266.0,40422.0,28235.0,0.0,16863.0,1612,16.8,648,13.6,838,21.8,26.0,15.6,11.0,15.5,14023.040576615054,0.032311578288959655,2.4691358024691357,17.97530864197531,76.8724279835391,0.2962962962962963,2.386831275720165,0.03079216545143362,2.216370419135396,20.75927145051569,74.69826640333552,0.3730524467851657,1.9530392802282204,89.36332443766679,10.636675562333206,26.53497942386831,10.666666666666668,13.794238683127572
7,12001000806,2180,272,1287,284,1,277,0,4,55,2074,262,1259,252,1,251,0,4,45,1276,1031,245,23.4,49.1,24.3,50.9,22.8,1.93,2.45,1.4,18.1,7.1,1.84,92.9,1.93,61.9,60.0,3.1,18542.0,12163.0,0.0,20741.0,6957.0,136,9.6,43,0.0,13,100.0,100.0,55.4,47.9,16.8,0.0,0.011594936735791284,12.477064220183486,59.03669724770643,13.027522935779817,12.706422018348624,2.7522935779816518,0.014014253049434568,12.632594021215043,60.7039537126326,12.150433944069432,12.10221793635487,2.4108003857280615,80.79937304075236,19.20062695924765,6.238532110091743,1.9724770642201837,0.5963302752293578
8,12001000808,3630,362,1709,712,11,708,7,17,104,3142,301,1558,533,7,667,4,11,61,1934,1578,356,24.4,52.3,24.6,47.7,24.2,2.3,2.79,4.9,18.0,12.2,2.25,87.8,2.31,58.6,55.8,4.9,25735.0,27759.0,25125.0,20000.0,35179.0,542,30.1,407,18.7,80,40.0,0.0,23.1,5.0,37.8,55395.0,0.019307165298588235,9.97245179063361,47.07988980716253,19.61432506887052,19.50413223140496,3.829201101928375,0.021230850087426912,9.579885423297263,49.586250795671546,16.96371737746658,21.22851686823679,2.6416295353278167,81.59255429162357,18.40744570837642,14.93112947658402,11.212121212121213,2.203856749311295
9,12001000809,1364,97,805,205,4,209,0,10,34,1294,90,786,185,4,191,0,9,29,886,652,234,31.1,50.8,32.0,49.2,30.3,1.56,2.47,6.5,28.2,26.4,1.47,73.6,1.59,55.8,55.8,0.0,33295.0,30469.0,33438.0,40890.0,4419.0,268,33.2,180,31.7,57,56.1,73.7,20.6,17.4,26.2,0.0,0.007254813627348307,7.111436950146628,59.017595307917894,15.029325513196481,15.32258064516129,3.519061583577713,0.008743704650900835,6.9551777434312205,60.741885625966,14.296754250386398,14.760432766615148,3.2457496136012365,73.58916478555305,26.410835214446955,19.64809384164223,13.196480938416421,4.178885630498534
