,Id2,TOT_POP,TOT_H,TOT_WA,TOT_BA,TOT_IA,TOT_AA,TOT_NA,TOT_OTHER,TOT_TOM,TOT_18+,TOT_H_18+,TOT_WA_18+,TOT_BA_18+,TOT_IA_18+,TOT_AA_18+,TOT_NA_18+,TOT_OTHER_18+,TOT_TOM_18+,TOT_HOUS_UNITS,OCC_HOUS_UNITS,VAC_HOUS_UNITS,Number; SEX AND AGE - Total population - Median age (years),Percent; SEX AND AGE - Male population,Number; SEX AND AGE - Male population - Median age (years),Percent; SEX AND AGE - Female population,Number; SEX AND AGE - Female population - Median age (years),Number; HOUSEHOLDS BY TYPE - Total households - Average household size,Number; HOUSEHOLDS BY TYPE - Total households - Average family size [7],Number; HOUSING OCCUPANCY - Total housing units - Homeowner vacancy rate (percent) [8],Number; HOUSING OCCUPANCY - Total housing units - Rental vacancy rate (percent) [9],Percent; HOUSING TENURE - Occupied housing units - Owner-occupied housing units,Number; HOUSING TENURE - Occupied housing units - Owner-occupied housing units - Average household size of owner-occupied units,Percent; HOUSING TENURE - Occupied housing units - Renter-occupied housing units,Number; HOUSING TENURE - Occupied housing units - Renter-occupied housing units - Average household size of renter-occupied units,In labor force; Estimate; Population 16 years and over,Employed; Estimate; Population 16 years and over,Unemployment rate; Estimate; Population 16 years and over,In labor force; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - White,Employed; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - White,Unemployment rate; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - White,In labor force; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - Black or African American,Employed; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - Black or African American,Unemployment rate; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - Black or African American,In labor force; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - American Indian and Alaska Native,Employed; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - American Indian and Alaska Native,Unemployment rate; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - American Indian and Alaska Native,In labor force; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - Asian,Employed; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - Asian,Unemployment rate; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - Asian,In labor force; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - Native Hawaiian and Other Pacific Islander,Employed; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - Native Hawaiian and Other Pacific Islander,Unemployment rate; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - Native Hawaiian and Other Pacific Islander,In labor force; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - Some other race,Employed; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - Some other race,Unemployment rate; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - Some other race,In labor force; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Two or more races,Employed; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Two or more races,Unemployment rate; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Two or more races,Total; Estimate; Hispanic or Latino origin (of any race)_x,In labor force; Estimate; Hispanic or Latino origin (of any race),Employed; Estimate; Hispanic or Latino origin (of any race),Unemployment rate; Estimate; Hispanic or Latino origin (of any race),Total; Estimate; Households,Median income (dollars); Estimate; Households,Total; Estimate; One race-- - White,Median income (dollars); Estimate; One race-- - White,Total; Estimate; One race-- - Black or African American,Median income (dollars); Estimate; One race-- - Black or African American,Total; Estimate; One race-- - American Indian and Alaska Native,Median income (dollars); Estimate; One race-- - American Indian and Alaska Native,Total; Estimate; One race-- - Asian,Median income (dollars); Estimate; One race-- - Asian,Total; Estimate; One race-- - Native Hawaiian and Other Pacific Islander,Median income (dollars); Estimate; One race-- - Native Hawaiian and Other Pacific Islander,Total; Estimate; One race-- - Some other race,Median income (dollars); Estimate; One race-- - Some other race,Total; Estimate; Two or more races,Median income (dollars); Estimate; Two or more races,Total; Estimate; Hispanic or Latino origin (of any race)_y,Median income (dollars); Estimate; Hispanic or Latino origin (of any race),Total; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Less than high school graduate,Total; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - High school graduate (includes equivalency),Total; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Some college or associate's degree,Total; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Bachelor's degree or higher
0,12001000200,7431,838,4935,1137,16,333,7,22,143,7103,815,4865,917,16,329,4,16,141,3123,2788,335,21.7,43.5,22.4,56.5,21.3,2.28,2.75,3.6,7.9,13.4,2.37,86.6,2.27,48.2,43.1,10.5,49.2,45.2,8.1,53.2,38.8,27.1,-,-,-,26.4,26.4,0,0,0,-,35.8,35.8,0,37.5,37.5,0,851,38.2,30.3,20.6,2252,9111,70.2,8363,22.2,14725,0,-,3.2,"2,500-",1.5,"2,500-",0.9,"2,500-",2,10139,17.6,4512,40.5,43.5,12.1,23.2
1,12001000301,3308,332,2061,723,16,68,0,14,94,2857,266,1912,533,15,62,0,7,62,1933,1758,175,27.4,50.5,27.3,49.5,27.4,1.87,2.71,2.6,8.7,21.3,2.0,78.7,1.84,61.8,57.7,6.5,62.5,60.9,2.6,71.2,55.1,22.5,0,0,-,0,0,-,0,0,-,-,-,-,0,0,-,166,79.5,79.5,0,1697,20947,76.8,22364,21.1,19857,0.5,-,1,-,0,-,0,-,0.6,-,8.4,15988,21.5,46.4,20.3,13.8
2,12001000302,2770,209,1537,863,8,74,0,7,72,2223,145,1362,613,8,59,0,2,34,1592,1328,264,34.8,50.5,33.7,49.5,35.9,2.07,2.79,5.9,17.9,40.5,2.06,59.5,2.07,75.5,67.1,11.1,72.7,65.2,10.3,91.7,75.1,18.1,-,-,-,100,100,0,-,-,-,100,100,0,100,100,0,285,82.1,51.6,37.2,1362,35766,86,37258,10.1,28517,0,-,0.9,-,0,-,1,-,2.1,110167,7.7,44219,0,29.2,15.3,23
3,12001000400,5665,297,1716,3390,18,74,1,27,142,3989,210,1477,2148,16,59,1,11,67,2327,2145,182,32.2,46.3,29.8,53.7,33.9,2.61,3.29,2.4,9.6,61.1,2.54,38.9,2.72,66.5,59.9,10,69.5,59.9,13.7,68.1,62.8,7.8,-,-,-,100,100,0,100,100,0,11.8,11.8,0,24,24,0,238,61.3,31.1,49.3,2167,37981,38.7,42121,59.3,37527,0,-,0,-,0.4,-,1.2,-,0.5,-,3.5,35096,29.6,17,16.8,2
4,12001000500,4976,296,3409,1020,24,78,2,22,125,4317,249,3083,792,18,71,2,18,84,2694,2417,277,33.3,51.4,33.7,48.6,32.9,1.92,2.7,4.1,10.1,43.2,2.07,56.8,1.8,66.7,63.7,4.5,68.2,65.3,4.3,56.6,53,6.3,-,-,-,100,100,0,-,-,-,-,-,-,-,-,-,152,70.4,70.4,0,2279,35952,78.5,40417,18.1,21438,0,-,3.4,38566,0,-,0,-,0,-,3.9,11607,59.7,19.4,15.8,9.6
5,12001000600,4350,95,215,3926,5,16,0,1,92,2839,54,169,2567,2,12,0,1,34,1757,1556,201,28.7,42,25.4,58,30.7,2.79,3.29,3.3,11.8,49.8,2.66,50.2,2.91,60.4,44.6,26.1,50.2,50.2,0,61.6,44.2,28.2,0,0,-,-,-,-,-,-,-,100,100,0,69.2,19.2,72.2,43,69.8,69.8,0,1632,25357,7.9,45679,91.2,23854,0,-,0,-,0,-,0.6,-,0.3,-,2.6,8208,57.1,16.4,27.9,8.9
6,12001000700,6075,150,1092,4670,15,18,0,7,123,4557,101,946,3404,13,17,0,4,72,2623,2344,279,37.9,46.2,35.0,53.8,40.0,2.58,3.16,3.3,11.8,65.4,2.54,34.6,2.67,50.7,43.3,14.7,53.7,52.3,2.5,49.7,40.7,18,-,-,-,-,-,-,-,-,-,58.6,53.9,7.9,59.1,59.1,0,240,46.7,43.8,6.3,2279,29266,20.9,40422,74.9,28235,0,-,0,-,0,-,2.8,16569,1.4,9653,4.3,16863,26,15.6,11,15.5
7,12001000806,2180,272,1287,284,1,277,0,4,55,2074,262,1259,252,1,251,0,4,45,1276,1031,245,23.4,49.1,24.3,50.9,22.8,1.93,2.45,1.4,18.1,7.1,1.84,92.9,1.93,61.9,60,3.1,61.5,60.5,1.6,79,79,0,-,-,-,57,48.2,15.4,-,-,-,53.7,53.7,0,100,100,0,110,59.1,59.1,0,1072,18542,77.4,12163,8.8,-,0,-,13.1,20741,0,-,0,-,0.7,-,3.4,6957,100,55.4,47.9,16.8
8,12001000808,3630,362,1709,712,11,708,7,17,104,3142,301,1558,533,7,667,4,11,61,1934,1578,356,24.4,52.3,24.6,47.7,24.2,2.3,2.79,4.9,18,12.2,2.25,87.8,2.31,58.6,55.8,4.9,64.5,62.7,2.9,76.8,76.8,0,0,0,-,43.1,37,14.2,-,-,-,50,50,0,67.9,67.9,0,301,33.2,33.2,0,1894,25735,54.6,27759,15.1,25125,0,-,21.9,20000,0,-,0,-,8.4,55395,10.4,35179,0,23.1,5,37.8
9,12001000809,1364,97,805,205,4,209,0,10,34,1294,90,786,185,4,191,0,9,29,886,652,234,31.1,50.8,32.0,49.2,30.3,1.56,2.47,6.5,28.2,26.4,1.47,73.6,1.59,55.8,55.8,0,54.6,54.6,0,0,0,-,-,-,-,72.4,72.4,0,-,-,-,100,100,0,100,100,0,91,100,100,0,817,33295,76.1,30469,6.7,33438,0,-,15.9,40890,0,-,0,-,1.2,-,8.1,4419,73.7,20.6,17.4,26.2
