GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC01_EST_VC28,HC01_MOE_VC28,HC02_EST_VC28,HC02_MOE_VC28,HC01_EST_VC32,HC01_MOE_VC32,HC02_EST_VC32,HC02_MOE_VC32,HC01_EST_VC33,HC01_MOE_VC33,HC02_EST_VC33,HC02_MOE_VC33,HC01_EST_VC34,HC01_MOE_VC34,HC02_EST_VC34,HC02_MOE_VC34,HC01_EST_VC35,HC01_MOE_VC35,HC02_EST_VC35,HC02_MOE_VC35,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36,HC01_EST_VC37,HC01_MOE_VC37,HC02_EST_VC37,HC02_MOE_VC37,HC01_EST_VC38,HC01_MOE_VC38,HC02_EST_VC38,HC02_MOE_VC38,HC01_EST_VC41,HC01_MOE_VC41,HC02_EST_VC41,HC02_MOE_VC41,HC01_EST_VC42,HC01_MOE_VC42,HC02_EST_VC42,HC02_MOE_VC42,HC01_EST_VC43,HC01_MOE_VC43,HC02_EST_VC43,HC02_MOE_VC43
Id,Id2,Geography,Total; Estimate; Households,Total; Margin of Error; Households,Median income (dollars); Estimate; Households,Median income (dollars); Margin of Error; Households,Total; Estimate; One race-- - White,Total; Margin of Error; One race-- - White,Median income (dollars); Estimate; One race-- - White,Median income (dollars); Margin of Error; One race-- - White,Total; Estimate; One race-- - Black or African American,Total; Margin of Error; One race-- - Black or African American,Median income (dollars); Estimate; One race-- - Black or African American,Median income (dollars); Margin of Error; One race-- - Black or African American,Total; Estimate; One race-- - American Indian and Alaska Native,Total; Margin of Error; One race-- - American Indian and Alaska Native,Median income (dollars); Estimate; One race-- - American Indian and Alaska Native,Median income (dollars); Margin of Error; One race-- - American Indian and Alaska Native,Total; Estimate; One race-- - Asian,Total; Margin of Error; One race-- - Asian,Median income (dollars); Estimate; One race-- - Asian,Median income (dollars); Margin of Error; One race-- - Asian,Total; Estimate; One race-- - Native Hawaiian and Other Pacific Islander,Total; Margin of Error; One race-- - Native Hawaiian and Other Pacific Islander,Median income (dollars); Estimate; One race-- - Native Hawaiian and Other Pacific Islander,Median income (dollars); Margin of Error; One race-- - Native Hawaiian and Other Pacific Islander,Total; Estimate; One race-- - Some other race,Total; Margin of Error; One race-- - Some other race,Median income (dollars); Estimate; One race-- - Some other race,Median income (dollars); Margin of Error; One race-- - Some other race,Total; Estimate; Two or more races,Total; Margin of Error; Two or more races,Median income (dollars); Estimate; Two or more races,Median income (dollars); Margin of Error; Two or more races,Total; Estimate; Hispanic or Latino origin (of any race),Total; Margin of Error; Hispanic or Latino origin (of any race),Median income (dollars); Estimate; Hispanic or Latino origin (of any race),Median income (dollars); Margin of Error; Hispanic or Latino origin (of any race),"Total; Estimate; White alone, not Hispanic or Latino","Total; Margin of Error; White alone, not Hispanic or Latino","Median income (dollars); Estimate; White alone, not Hispanic or Latino","Median income (dollars); Margin of Error; White alone, not Hispanic or Latino",Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Total; Estimate; FAMILIES - Families,Total; Margin of Error; FAMILIES - Families,Median income (dollars); Estimate; FAMILIES - Families,Median income (dollars); Margin of Error; FAMILIES - Families,Total; Estimate; FAMILIES - Families - With own children under 18 years,Total; Margin of Error; FAMILIES - Families - With own children under 18 years,Median income (dollars); Estimate; FAMILIES - Families - With own children under 18 years,Median income (dollars); Margin of Error; FAMILIES - Families - With own children under 18 years,Total; Estimate; FAMILIES - Families - With no own children under 18 years,Total; Margin of Error; FAMILIES - Families - With no own children under 18 years,Median income (dollars); Estimate; FAMILIES - Families - With no own children under 18 years,Median income (dollars); Margin of Error; FAMILIES - Families - With no own children under 18 years,Total; Estimate; FAMILIES - Married-couple families,Total; Margin of Error; FAMILIES - Married-couple families,Median income (dollars); Estimate; FAMILIES - Married-couple families,Median income (dollars); Margin of Error; FAMILIES - Married-couple families,"Total; Estimate; FAMILIES - Female householder, no husband present","Total; Margin of Error; FAMILIES - Female householder, no husband present","Median income (dollars); Estimate; FAMILIES - Female householder, no husband present","Median income (dollars); Margin of Error; FAMILIES - Female householder, no husband present","Total; Estimate; FAMILIES - Male householder, no wife present","Total; Margin of Error; FAMILIES - Male householder, no wife present","Median income (dollars); Estimate; FAMILIES - Male householder, no wife present","Median income (dollars); Margin of Error; FAMILIES - Male householder, no wife present",Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households,Total; Estimate; NONFAMILY HOUSEHOLDS - Female householder,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Female householder,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Female householder,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Female householder,Total; Estimate; NONFAMILY HOUSEHOLDS - Female householder - Living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Female householder - Living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Female householder - Living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Female householder - Living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Female householder - Not living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Female householder - Not living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Female householder - Not living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Female householder - Not living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Male householder,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Male householder,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Male householder,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Male householder,Total; Estimate; NONFAMILY HOUSEHOLDS - Male householder - Living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Male householder - Living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Male householder - Living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Male householder - Living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Male householder - Not living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Male householder - Not living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Male householder - Not living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Male householder - Not living alone,Total; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Median income (dollars); Estimate; PERCENT IMPUTED - Household income in the past 12 months,Median income (dollars); Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Total; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Median income (dollars); Estimate; PERCENT IMPUTED - Family income in the past 12 months,Median income (dollars); Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Total; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Median income (dollars); Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Median income (dollars); Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months
1400000US12001000200,12001000200,"Census Tract 2, Alachua County, Florida",2252,240,9111,3662,70.2,5.4,8363,4404,22.2,4.2,14725,6697,0,1.9,-,**,3.2,2.6,"2,500-",***,1.5,2.2,"2,500-",***,0.9,1.6,"2,500-",***,2,2.1,10139,15647,17.6,7.5,4512,12749,53.9,8.6,9004,4690,65.3,5.9,4375,2377,15.9,5.3,12031,19142,13.3,5,19196,8555,5.5,3,14688,12008,380,108,18136,6596,32.4,14.4,5729,10435,67.6,14.4,20036,3900,30,16.1,28750,20551,60.3,18.5,16563,7790,9.7,11.2,"2,500-",***,1872,250,7664,3998,54.4,8.9,5577,4100,22.4,7.7,3482,5501,31.9,8.1,7244,10622,45.6,8.9,12097,10691,24.3,8.2,3633,6680,21.3,7.4,18958,9519,34.1,(X),(X),(X),38.9,(X),(X),(X),33.1,(X),(X),(X)
1400000US12001000301,12001000301,"Census Tract 3.01, Alachua County, Florida",1697,126,20947,3267,76.8,8.9,22364,5816,21.1,8.7,19857,5769,0.5,0.7,-,**,1,1.7,-,**,0,2.5,-,**,0,2.5,-,**,0.6,1.1,-,**,8.4,7.3,15988,3002,68.4,9.3,23630,5353,34.4,8,21486,2906,27.5,8.4,21286,23282,25.6,6.8,23850,25428,12.6,4.3,12290,13311,179,103,59331,14170,7.3,12.2,-,**,92.7,12.2,59709,18928,68.2,27.2,58663,5591,31.8,27.2,80341,84514,0,20.9,-,**,1518,161,19250,4326,48.3,13.3,16754,6259,36,13.5,14734,2883,12.3,6.1,22817,2583,51.7,13.3,22686,6940,39.9,11.2,19063,9359,11.9,6,23640,7661,32.9,(X),(X),(X),31.8,(X),(X),(X),33.1,(X),(X),(X)
1400000US12001000302,12001000302,"Census Tract 3.02, Alachua County, Florida",1362,145,35766,8157,86,6.9,37258,11971,10.1,6.7,28517,18552,0,3.1,-,**,0.9,1.6,-,**,0,3.1,-,**,1,1.5,-,**,2.1,2.3,110167,169645,7.7,5.8,44219,24086,80.2,8.5,35645,8023,5.7,5.1,43828,24845,43,8.9,34342,6711,39.6,8.8,35521,15437,11.7,3.8,43413,33469,682,172,42019,14220,47.9,13.3,28459,17698,52.1,13.3,60899,9573,48.1,12.8,63214,18884,27.6,13.1,21250,24622,24.3,14.8,17083,21252,680,170,34167,10002,46,15.5,26055,19857,34.9,13.5,16947,9864,11.2,9.8,56154,26630,54,15.5,36414,17037,40.4,14.5,37401,22900,13.5,13.3,4896,84629,35.2,(X),(X),(X),31.1,(X),(X),(X),39.4,(X),(X),(X)
1400000US12001000400,12001000400,"Census Tract 4, Alachua County, Florida",2167,137,37981,3762,38.7,6.2,42121,13810,59.3,6.2,37527,6151,0,1.9,-,**,0,1.9,-,**,0.4,0.6,-,**,1.2,1.4,-,**,0.5,0.9,-,**,3.5,2.4,35096,11303,36.4,6.4,44250,12823,2.3,3.4,-,**,42.1,5.4,40909,8073,42.2,5.4,39071,5921,13.4,3.3,11806,15877,1337,184,45576,5200,56.3,8.1,43460,8194,43.7,8.1,51271,9808,48.2,10.9,52625,14474,43.2,10.1,30344,8868,8.6,6.5,50475,10382,830,183,29519,12158,57.2,15,13952,2752,56,14.8,13826,2687,1.2,2,-,**,42.8,15,39607,12964,34.6,15.1,37350,4434,8.2,8.9,-,**,42.9,(X),(X),(X),47,(X),(X),(X),36.3,(X),(X),(X)
1400000US12001000500,12001000500,"Census Tract 5, Alachua County, Florida",2279,169,35952,4671,78.5,6.5,40417,7767,18.1,5.4,21438,8892,0,1.8,-,**,3.4,3.8,38566,591,0,1.8,-,**,0,1.8,-,**,0,1.8,-,**,3.9,4.5,11607,4261,74.5,7.6,41979,4929,14.6,6.9,40724,25512,45.1,7.8,37976,4351,31.5,5.1,32328,7227,8.8,3.5,17031,16361,920,183,46346,9001,46.7,13.7,36111,9656,53.3,13.7,55306,9995,55.2,12.8,64597,14512,39.5,13.9,35885,6515,5.3,5.9,21801,47755,1359,243,30264,5603,58.6,10.9,31809,6319,44.9,9.7,31090,8555,13.7,7.5,37679,20508,41.4,10.9,24175,10230,27.3,8.8,23897,10647,14.1,10.2,24306,31333,25.6,(X),(X),(X),30.1,(X),(X),(X),20.8,(X),(X),(X)
1400000US12001000600,12001000600,"Census Tract 6, Alachua County, Florida",1632,128,25357,5211,7.9,4.1,45679,30847,91.2,4.4,23854,5631,0,2.6,-,**,0,2.6,-,**,0,2.6,-,**,0.6,0.9,-,**,0.3,0.6,-,**,2.6,2.9,8208,1675,7.9,4.1,45679,30847,12,4.8,16556,8738,38.5,7.1,26976,8372,30.3,7.1,29091,6903,19.2,3.7,25398,13632,1301,140,25576,4912,59.7,8.2,23618,7783,40.3,8.2,30391,12067,25.7,7.2,54107,15945,64,7.5,16910,5816,10.4,6.4,31723,12160,331,98,21678,8644,76.7,14.5,21316,13405,63.1,17.2,19583,11085,13.6,13.3,36563,722,23.3,14.5,25625,19807,23.3,14.5,25625,19807,0,12,-,**,53.9,(X),(X),(X),53.7,(X),(X),(X),48.3,(X),(X),(X)
1400000US12001000700,12001000700,"Census Tract 7, Alachua County, Florida",2279,206,29266,6241,20.9,5.6,40422,10674,74.9,5.1,28235,7267,0,1.8,-,**,0,1.8,-,**,0,1.8,-,**,2.8,3,16569,23757,1.4,1.2,9653,10704,4.3,3,16863,6054,19.9,5.6,40768,6932,4.1,3.7,"2,500-",***,27.3,6.9,31779,19667,41.5,6.2,31190,5051,27.1,5.4,25729,7327,1612,203,32250,8543,32.7,7.9,20908,4808,67.3,7.9,39332,7104,40.2,8.1,50938,8849,52,7.7,28333,7807,7.8,5.3,31731,19250,667,166,17319,5335,44.2,13.8,11902,9669,34.5,12,11351,6735,9.7,8.8,30096,41353,55.8,13.8,20172,7966,49.6,13.8,17625,7630,6.1,5.8,47031,87103,44.2,(X),(X),(X),44.5,(X),(X),(X),40.9,(X),(X),(X)
1400000US12001000806,12001000806,"Census Tract 8.06, Alachua County, Florida",1072,98,18542,9168,77.4,6.3,12163,6188,8.8,1.7,-,**,0,3.9,-,**,13.1,6.1,20741,9467,0,3.9,-,**,0,3.9,-,**,0.7,1.2,-,**,3.4,4,6957,29496,74.1,6.9,12303,6373,46.7,11.2,9548,4021,38.6,11.1,29917,14517,14.6,4.5,33482,43783,0,3.9,-,**,136,93,54531,39000,16.9,23.4,25583,24809,83.1,23.4,62827,30029,31.6,34.5,34018,26405,9.6,12.4,7969,5929,58.8,37.4,63462,30517,936,131,13208,7154,35.7,8.8,12019,4079,24.5,7.7,20583,13452,11.2,5.6,8242,9716,64.3,8.8,15357,11472,37.5,10.4,18906,20615,26.8,9.7,6420,19051,32.5,(X),(X),(X),59.6,(X),(X),(X),28.5,(X),(X),(X)
1400000US12001000808,12001000808,"Census Tract 8.08, Alachua County, Florida",1894,163,25735,6546,54.6,7.8,27759,7377,15.1,5.9,25125,9286,0,2.2,-,**,21.9,6.1,20000,23552,0,2.2,-,**,0,2.2,-,**,8.4,5.4,55395,26532,10.4,6.4,35179,51795,48.1,8.5,28319,6867,43.2,8.4,26191,7004,42.4,8.3,23846,9678,11,5.2,40104,68871,3.3,3.2,22214,67072,542,143,41458,18677,45.9,14.9,22019,15172,54.1,14.9,46875,31563,75.1,12.2,56319,23966,14.8,8.7,24038,9154,10.1,11.3,9219,1721,1352,180,22098,6414,43.9,8.7,26265,6423,23.9,9.5,26574,2181,20,8.7,19485,20065,56.1,8.7,21048,2375,22,9.4,18162,5027,34.1,10.3,27891,14999,29.9,(X),(X),(X),20.7,(X),(X),(X),33.7,(X),(X),(X)
