County number,County,Land Area in Sq Miles,Population per Sq Mile,Persons Below Poverty Level in Percent,Persons per Household,Living in the same house 1 year & over 2009-2013 percent,High school graduate or higher 2009-2013 percent of persons over 25,Bachelors degree or higher 2009-2013 percent of persons over 25,Homeownership rate 2009-2013,MHI
1,Alachua,875.02,282.7,24.9,2.43,74.2,91.2,40.5,54.1,40644
3,Baker,585.23,46.3,17.3,3.01,85.2,80.1,10,79.7,47276
5,Bay,758.46,222.6,14.7,2.48,79.6,87,21.1,62.5,47770
7,Bradford,293.96,97,18.2,2.72,87.2,75.5,9.2,77.8,41126
9,Brevard,"1,015.66",535,13.5,2.44,85.4,90.2,26.3,73.5,49523
11,Broward,"1,209.79","1,444.90",14.3,2.67,83.3,87.8,29.9,65.9,51694
13,Calhoun,567.33,25.8,23.5,2.7,87.5,73.5,7.8,79,31699
15,Charlotte,680.28,235.2,12.6,2.24,84.1,88.8,21.2,79,45037
17,Citrus,581.7,242.8,16.8,2.29,88,86,16.6,82.6,37933
19,Clay,604.36,315.8,9.8,2.82,85.3,90.2,24,76.6,61185
21,Collier,"1,998.32",160.9,14.1,2.64,84.8,85.8,31.7,74.1,58106
23,Columbia,797.57,84.7,19.8,2.69,78.8,82.6,13.3,70.8,38214
27,DeSoto,637.06,54.7,29.6,2.89,82,71.3,10.6,71.8,43605
29,Dixie,705.05,23.3,17.4,2.49,87.1,78.5,8.4,78.5,35979
31,Duval,762.19,"1,133.90",16.9,2.58,81.5,87.9,26.4,61.6,32312
33,Escambia,656.46,453.4,18.1,2.51,80.9,87.9,23.7,64.1,49463
35,Flagler,485.46,197.1,16.6,2.71,88.2,90.2,23.3,80.2,43573
37,Franklin,534.73,21.6,20.6,2.23,80,79.3,14.4,69.7,48090
39,Gadsden,516.33,89.8,26.5,2.62,89.4,77.2,14.9,71.2,36490
41,Gilchrist,349.68,48.4,24.1,2.51,85.1,79.8,11.1,79.7,35728
43,Glades,806.01,16,24.5,3.05,87.5,78,12.2,72.1,37039
45,Gulf,564.01,28.1,16.4,2.49,85.1,79.5,13.6,71.3,39429
47,Hamilton,513.79,28.8,23.6,2.45,82.9,75.1,9.4,75.1,39178
49,Hardee,637.78,43.5,29.6,3.38,86.4,64.2,8.8,70.5,37613
51,Hendry,"1,152.75",34,26.7,3.15,83.4,64.4,9.9,69.6,37466
53,Hernando,472.54,365.6,15.4,2.44,85.3,86.5,15.5,79.3,37298
55,Highlands,"1,016.62",97.2,20.1,2.42,84.4,81,14.9,77.9,42011
57,Hillsborough,"1,020.21","1,204.90",16.8,2.63,81.7,86.8,29.5,60,34946
59,Holmes,478.78,41.6,23.8,2.65,87.6,75.5,12,79.3,49536
61,Indian River,502.87,274.5,15.1,2.37,84.3,87,26.6,74.9,32247
63,Jackson,917.76,54.2,19.9,2.55,86.1,78,14.2,74.3,47341
65,Jefferson,598.1,24.7,17.2,2.36,90.1,81.2,16.9,75.5,38257
67,Lafayette,543.41,16.3,20.2,2.75,85.1,78.4,9.3,79.9,41359
69,Lake,938.38,316.6,13.8,2.53,85.1,86.4,20.5,75.3,46445
71,Lee,784.51,788.7,15.4,2.59,80.9,86.9,24.7,70.8,46477
73,Leon,666.85,413.1,23.2,2.4,72.8,91.8,44.2,53.8,50014
75,Levy,"1,118.21",36.5,23.7,2.54,83.4,81.1,11.1,77.5,44490
77,Liberty,835.56,10,24.1,2.91,79.4,75.6,12.8,78.7,35737
79,Madison,695.95,27.6,22.5,2.52,88,78.2,9.7,75.8,40777
81,Manatee,742.93,434.5,15.1,2.48,82.7,87.4,26.6,71.4,37459
83,Marion,"1,584.55",209.1,18.1,2.43,84.6,85,17.4,76.7,47812
85,Martin,543.46,269.2,13,2.41,85.7,88.8,29.9,76.2,40339
86,Miami-Dade,"1,897.72","1,315.50",19.9,3.02,86.9,78.8,26.3,55.7,53210
87,Monroe,983.28,74.3,13.5,2.54,84,89.9,28,61.7,53821
89,Nassau,648.64,113,12.6,2.62,86.9,89.4,22.8,78.4,58712
91,Okaloosa,930.25,194.4,13.4,2.47,81,90.9,27.4,66.1,54242
93,Okeechobee,768.91,52,26.9,2.86,88.7,67.8,10.2,73.9,38339
95,Orange,903.43,"1,268.50",17,2.76,79.5,87.2,30.1,57.4,50138
97,Osceola,"1,327.45",202.4,17.9,3.07,85.4,83.8,17.6,63.1,46328
99,Palm Beach,"1,969.76",670.2,14.5,2.51,85,87.5,32.4,71.2,53242
101,Pasco,746.89,622.2,13.9,2.53,87,87.2,20.4,76.5,44228
103,Pinellas,273.8,"3,347.50",14.1,2.24,84.3,88.9,27.5,67,45258
105,Polk,"1,797.84",334.9,18.2,2.71,83.7,82.4,18.1,70.5,43946
107,Putnam,727.62,102.2,26.4,2.57,88.2,77.5,11.4,76.3,34645
109,Santa Rosa,"1,011.61",149.6,12.3,2.64,81.3,89.4,25.9,73.6,62663
111,Sarasota,555.87,682.6,12.2,2.21,84.8,91.9,30.8,74.5,45196
113,Seminole,309.22,"1,367.00",11.3,2.87,86.9,91.8,35,70.5,55129
115,St. Johns,600.66,316.4,9.6,2.57,83.3,93.2,41.4,77,49388
117,St. Lucie,571.93,485.7,18.4,2.62,83.5,85.2,19.5,73,58971
119,Sumter,546.93,170.8,12,2.04,85.3,87.8,25.2,90.2,43079
121,Suwannee,688.55,60.3,23.6,2.64,85.2,79.8,9.8,72.2,36352
123,Taylor,"1,043.31",21.6,16.7,2.55,86.7,76.5,11.6,78.1,37408
125,Union,243.56,63.8,19.6,2.79,83.9,73.9,10,66.5,41794
127,Volusia,"1,101.03",449.2,16.8,2.47,85.6,87.6,20.8,72,44400
129,Wakulla,606.42,50.8,14.4,2.61,80.2,87.7,17.2,78.7,53301
131,Walton,"1,037.63",53,17.9,2.41,83.5,84.5,24.1,73.3,47273
133,Washington,582.8,42.7,20.1,2.63,86.4,80.3,11.4,78.6,36216
